stock_flow,balance_type,instrument,counterparty,series_type,series_id,start,end,n_obs,unit,data_type,frequency,collection_month,file_no
Net lending to non-residents ,,NA,NA,Original,A83822825X,1/09/1988,1/12/2024,146,$ Millions,DERIVED,Quarter,3,5232004.xlsx
Net errors and omissions ,,NA,NA,Original,A83822859W,1/09/1988,1/12/2024,146,$ Millions,DERIVED,Quarter,3,5232004.xlsx
Net transactions during period ,Change in/Net financial position,,NA,Original,A83833878J,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Assets,Total financial assets,,Original,A83834100L,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Assets,Monetary gold and SDRs,,Original,A83834139W,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Assets,Currency,,Original,A83834736V,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Assets,Deposits,,Original,A83834427R,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Assets,One name paper,,Original,A83834199X,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Assets,Bonds etc.,,Original,A83834403W,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Assets,Derivatives,,Original,A83834682X,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Assets,Short term loans and placements,,Original,A83834325A,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Assets,Long term loans and placements,,Original,A83834142K,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Assets,Unlisted shares and other equity,,Original,A83834259R,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Assets,Insurance technical reserves,,Original,A83834793R,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Assets,Other accounts receivable,,Original,A83834529C,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Liabilities,Total financial liabilities,,Original,A83834808V,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Liabilities,Monetary gold and SDRs,,Original,A83834556K,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Liabilities,Deposits,,Original,A83834898K,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Liabilities,Bills of exchange,,Original,A83834586X,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Liabilities,One name paper,,Original,A83833926R,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Liabilities,Bonds etc.,,Original,A83834835A,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Liabilities,Derivatives,,Original,A83834160R,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Liabilities,Short term loans and placements,,Original,A83834421A,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Liabilities,Long term loans and placements,,Original,A83834256J,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Liabilities,Listed shares and other equity,,Original,A83834901L,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Liabilities,Unlisted shares and other equity,,Original,A83834538F,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Liabilities,Insurance technical reserves,,Original,A83834286W,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Net transactions during period ,Liabilities,Other accounts payable,,Original,A83834430C,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Change in/Net financial position,,NA,Original,A83834824V,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Assets,Total financial assets,,Original,A83834671T,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Assets,Monetary gold and SDRs,,Original,A83834590R,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Assets,Currency,,Original,A83834089K,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Assets,Deposits,,Original,A83834626F,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Assets,One name paper,,Original,A83834563J,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Assets,Bonds etc.,,Original,A83834593W,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Assets,Derivatives,,Original,A83834821L,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Assets,Short term loans and placements,,Original,A83834395J,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Assets,Long term loans and placements,,Original,A83834062K,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Assets,Unlisted shares and other equity,,Original,A83834707J,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Assets,Insurance technical reserves,,Original,A83834566R,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,,Original,A83834197V,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Liabilities,Total financial liabilities,,Original,A83834746X,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Liabilities,Monetary gold and SDRs,,Original,A83834194L,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Liabilities,Deposits,,Original,A83834545C,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Liabilities,Bills of exchange,,Original,A83834776L,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper,,Original,A83834917F,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Liabilities,Bonds etc.,,Original,A83834596C,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Liabilities,Derivatives,,Original,A83833885F,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Liabilities,Short term loans and placements,,Original,A83834059W,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Liabilities,Long term loans and placements,,Original,A83834716K,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Liabilities,Listed shares and other equity,,Original,A83834020L,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Liabilities,Unlisted shares and other equity,,Original,A83834920V,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Liabilities,Insurance technical reserves,,Original,A83834344J,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Amounts outstanding at end of period ,Liabilities,Other accounts payable,,Original,A83834845F,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232004.xlsx
Net lending (+) / net borrowing (-) ,,NA,NA,Original,A83822618J,1/09/1988,1/12/2024,146,$ Millions,DERIVED,Quarter,3,5232006.xlsx
Net errors and omissions ,,NA,NA,Original,A83822724L,1/09/1988,1/12/2024,146,$ Millions,DERIVED,Quarter,3,5232006.xlsx
Net transactions during period ,Change in/Net financial position,Total (Counterparty sectors),,Original,A3420720X,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,Total financial assets,Total (Counterparty sectors),Original,A3411885C,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,Currency accepted by:,Total (Counterparty sectors),Original,A3403083A,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,Currency accepted by:,Central bank,Original,A3388317R,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,Currency accepted by:,National general government,Original,A3397185T,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,Deposits accepted by:,Total (Counterparty sectors),Original,A3400806R,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,Deposits accepted by:,Authorised deposit taking Institutions,Original,A3383799A,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,Deposits accepted by:,Other broad money Institutions,Original,A3381597T,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,Deposits accepted by:,Rest of world,Original,A3380109A,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,Bills of exchange,Total (Counterparty sectors),Original,A3422241A,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,Bills of exchange,Authorised deposit taking Institutions,Original,A3395124A,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,One name paper issued by:,Total (Counterparty sectors),Original,A3421398F,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,One name paper issued by:,Authorised deposit taking Institutions,Original,A3397302T,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,One name paper issued by:,Other broad money Institutions,Original,A3392853W,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,One name paper issued by:,Central borrowing authorities,Original,A3386172A,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,One name paper issued by:,National general government,Original,A3389169T,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,One name paper issued by:,Rest of world,Original,A3389172F,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,"Bonds, etc. issued by:",Total (Counterparty sectors),Original,A3400821L,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,"Bonds, etc. issued by:",Authorised deposit taking Institutions,Original,A3380367T,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,"Bonds, etc. issued by:",Other broad money Institutions,Original,A3384858J,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,"Bonds, etc. issued by:",Life insurance corporations,Original,A3386325C,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,"Bonds, etc. issued by:",Central borrowing authorities,Original,A3384063C,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,"Bonds, etc. issued by:",Securitisers,Original,A3392970J,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,"Bonds, etc. issued by:",National general government,Original,A3397404F,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,"Bonds, etc. issued by:",Rest of world,Original,A3388575F,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,Derivatives issued by:,Total (Counterparty sectors),Original,A3423918K,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
Net transactions during period ,Assets,Derivatives issued by:,Central bank,Original,A83749240V,1/06/1988,1/12/2024,147,$ Millions,FLOW,Quarter,3,5232006.xlsx
