lookup_ref,ref1,ref2,ref3,ref4
cp_ss,sub_sector,counterparty,,
cp_ss,auth_dep_inst,Authorised deposit taking Institutions,,
cp_ss,central_bank,Central bank,,
cp_ss,cent_borr_auth,Central borrowing authorities,,
cp_ss,household,Households,,
cp_ss,life_ins_corp,Life insurance corporations,,
cp_ss,mm_fin_inv_fund,Money market financial investment funds,,
cp_ss,nat_gen_gov,National general government,,
cp_ss,non_life_ins_corp,Non-life insurance corporations,,
cp_ss,non_mm_fin_inv_fund,Non-money market financial investment funds,,
cp_ss,broad_money_inst,Other broad money Institutions,,
cp_ss,other_fin_corp,Other financial corporations,,
cp_ss,oth_priv_non_fin_corp,Other private non-financial corporations,,
cp_ss,pens_fund,Pension funds,,
cp_ss,priv_non_fin_inv,Private non-financial investment funds,,
cp_ss,pub_non_fin_corp,Public non-financial corporations,,
cp_ss,row,Rest of world,,
cp_ss,securitiser,Securitisers,,
cp_ss,state_gen_gov,State and local general government,,
instrument,Acceptance of bills of exchange,Bills of exchange,,
instrument,Bills of exchange,Bills of exchange,,
instrument,Bonds etc.,Bonds,,
instrument,"Bonds, etc.",Bonds,,
instrument,"Bonds, etc. issued in Australia",Bonds,,
instrument,"Bonds, etc. issued offshore",Bonds,,
instrument,Currency,Currency,,
instrument,Deposits,Deposits,,
instrument,Derivatives,Derivatives,,
instrument,Drawings of bills of exchange,Bills of exchange,,
instrument,Holdings of bills of exchange,Bills of exchange,,
instrument,Insurance technical reserves,Insurance technical reserves,,
instrument,Listed shares and other equity,Shares and other equity,,
instrument,Loans and placements,Loans and placements,,
instrument,Long term loans and placements,Loans and placements,,
instrument,Monetary gold and SDRs,Monetary gold and SDRs,,
instrument,Net equity in reserves,Net equity in reserves,,
instrument,Net equity of pension funds in life office reserves,Net equity of pension funds,,
instrument,Net equity of pension funds in life offices,Net equity of pension funds,,
instrument,Non-financial assets - other,Non-financial assets - other,,
instrument,Non-financial assets - property,Non-financial assets - property,,
instrument,One name paper,One name paper,,
instrument,One name paper issued in Australia,One name paper,,
instrument,One name paper issued offshore,One name paper,,
instrument,Other accounts payable,Accounts pay / rec,,
instrument,Other accounts receivable,Accounts pay / rec,,
instrument,Prepayments of premiums and reserves against outstanding claims,Prepayments of premiums and reserves,,
instrument,Shares and other equity,Shares and other equity,,
instrument,Short term loans and placements,Loans and placements,,
instrument,Total (Counterparty sectors),Total (Counterparty sectors),,
instrument,Total assets,Total assets,,
instrument,Total financial assets,Total financial assets,,
instrument,Total financial liabilities,Total financial liabilities,,
instrument,Total liabilities,Total liabilities,,
instrument,Unfunded superannuation claims,Unfunded superannuation claims,,
instrument,Unlisted shares and other equity,Shares and other equity,,
sisca,1,Non-Financial Corporations,1,
sisca,10,Non-Financial Corporations,2,
sisca,100,Non-Financial Corporations,3,
